2026-02-22T14:54:06.797307+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:09.964846+00:00 | 127.0.0.1 | /admin/library/author/3/change/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:10.039010+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:12.623114+00:00 | 127.0.0.1 | /admin/library/author/3/delete/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:13.956673+00:00 | 127.0.0.1 | /admin/library/author/3/delete/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:14.032463+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:14.112817+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:16.796170+00:00 | 127.0.0.1 | /admin/library/author/2/change/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:16.880491+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:19.701134+00:00 | 127.0.0.1 | /admin/library/author/2/delete/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:22.555101+00:00 | 127.0.0.1 | /admin/library/author/2/delete/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:22.637503+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:22.723682+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:25.010911+00:00 | 127.0.0.1 | /admin/library/author/1/change/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:25.097157+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:28.348980+00:00 | 127.0.0.1 | /admin/library/author/1/delete/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:29.945905+00:00 | 127.0.0.1 | /admin/library/author/1/delete/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:30.009917+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:30.096046+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:55:01.525794+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:55:01.615888+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:57:47.371666+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:57:47.439534+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:57:47.511331+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:14:27.971262+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:14:28.016563+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:14:28.053974+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:16:08.481349+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:16:08.499365+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:16:08.522284+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:17:01.399234+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:17:01.418527+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T20:17:01.439831+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
